Name,Reference,CPU,GPU,RAM,Storage,Refresh screen,Color,Price,Garentie,Availability
Pc Portable Gamer ASUS V16 V3607VJ ,[V3607VJ-RP086-16-W11P-SS], Intel Core 5 210H , RTX 3050 6G , 16 Go DDR5 , 512 Go SSD ,144 Hz, Windows 11 Pro ,"2 689,000 DT",1,En stock
PC Portable ASUS TUF Gaming A15 FA506NFR ,[BU-FA506NFR-HN005W-16], Ryzen 7 7435HS , RTX 2050 4G , 16 Go , 512 Go SSD ,N/A, Windows 11 ,"2 699,000 DT",1,En stock
PC Portable ASUS TUF Gaming A15 FA506NFR ,[FA506NFR-HN005W-16], Ryzen 7 7435HS , RTX 2050 4G , 16 Go , 512 Go SSD ,N/A, Windows 11 ,"2 699,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13UDX ,[B13UDX-3258XFR-24], I5-13420H , RTX 3050 6G , 24 Go , 512 Go SSD ,144 Hz, Gris,"2 699,000 DT",1,En stock
"PC Portable Gamer ASUS Vivobook 16X I5-13420H 24GB 512SSD RTX30504GO W11 16"" WUXGA BLACK + SAC A DOS",[K3605VC-RP405W-24],N/A,N/A,N/A,N/A,144 Hz,N/A,"2 719,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13U ,[B13UCX-2606XFR-24], I7-13620H , RTX 2050 4G , 24 Go , 512 Go SSD ,144 Hz, Gris Cosmos Sac À Dos MSI Offert,"2 719,000 DT",1,En stock
Portable Gaming HP Victus Gaming 15-Fa2028nk ,[C65BBEA], I5-14450HX , RTX 3050 6G , 16 Go , 512 Go SSD ,IPS, Windows 11 ,"2 719,000 DT",1,En stock
"PC Portable Gamer ASUS Vivobook 16X I5-13420H 24GB 512SSD RTX30504GO W11 16"" WUXGA SILVER + SAC A DOS",[K3605VC-RP488W-24],N/A,N/A,N/A,N/A,144 Hz,N/A,"2 719,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13U ,[B13UCX-2606XFR-24-SSW11P], I7-13620H , RTX 2050 4G , 24 Go , 512 Go SSD ,144 Hz, Windows 11 Pro ,"2 735,000 DT",1,En stock
Pc Portable Gamer ASUS V16 V3607VJ ,[V3607VJ-RP086-16-W11P], Intel Core 5 210H , RTX 3050 6G , 16 Go DDR5 , 512 Go SSD ,144 Hz, Windows 11 Pro ,"2 739,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13UDX ,[B13UDX-3257XFR-W11P], I7-13620H , RTX 3050 6G , 8 Go , 512 Go SSD ,144 Hz, Windows 11 Pro ,"2 749,000 DT",1,En stock
PC Portable ASUS TUF Gaming A15 FA506NF ,[FA506NF-HN005W-32], Ryzen 5 7535HS , RTX 2050 4G , 32 Go , Windows 11 ,N/A, Noir,"2 759,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13U ,[B13UCX-2606XFR-24-W], I7-13620H , RTX 2050 4G , 24 Go , 512 Go SSD ,144 Hz, Windows 11 Pro ,"2 769,000 DT",1,En stock
Pc Portable Gamer HP Victus Gaming 15-Fb3008nk ,[C65BFEA-16], Ryzen 5 8645HS , 16 Go DDR5 , 512 Go SSD , Windows 11 ,IPS, Noir,"2 769,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13UDX ,[B13UDX-3258XFR-24-W11P], I5-13420H , RTX 3050 6G , 24 Go , 512 Go SSD ,144 Hz, Windows 11 Pro ,"2 779,000 DT",1,En stock
Pc Portable Gamer ASUS V16 V3607VJ ,[V3607VJ-RP086-24-SS], Intel Core 5 210H , RTX 3050 6G , 24 Go DDR5 , 512 Go SSD ,144 Hz, Noir,"2 789,000 DT",1,En stock
Pc Portable Gamer ASUS V16 V3607VJ ,[V3607VU-RP209], Intel Core 5 210H , RTX 4050 6G , 8 Go DDR5 , 512 Go SSD ,144 Hz, Noir,"2 829,000 DT",1,En stock
