Name,Reference,CPU,GPU,RAM,Storage,Refresh screen,Color,Price,Garentie,Availability
Pc Portable Gamer ASUS V16 V3607VJ ,[V3607VJ-RP086-24],Intel Core 5,RTX 3050,24 Go,512 Go,144 Hz,Noir,"2 829,000 DT",1,En stock
Pc Portable Gamer Dell Alienware 16 Aurora ,[AC162506RPHR005],Intel Core 5,RTX 3050,16 Go,512 Go,N/A,Bleu,"2 839,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13UDX ,[B13UDX-3257XFR-16],Intel Core i7-13620H,RTX 3050,16 Go,512 Go,144 Hz,Gris Cosmos,"2 839,000 DT",1,En stock
Pc Portable Gamer ASUS V16 V3607VJ ,[V3607VJ-RP086-24-W11P-SS],Intel Core 5,RTX 3050,24 Go,512 Go,144 Hz,Noir,"2 839,000 DT",1,En stock
PC Portable ASUS TUF Gaming A15 FA506NFR ,[BU-FA506NFR-HN005W-24],AMD Ryzen 7,RTX 2050,24 Go,512 Go,N/A,Noir,"2 849,000 DT",1,En stock
Portable Gaming HP Victus Gaming 15-Fa2029nk ,[C65BCEA-32],Intel Core i7-13620H,RTX 2050,32 Go,512 Go,IPS,Argent mica,"2 849,000 DT",1,En stock
PC Portable ASUS TUF Gaming A15 FA506NFR ,[FA506NFR-HN005W-24],AMD Ryzen 7,RTX 2050,24 Go,512 Go,N/A,Noir,"2 849,000 DT",1,En stock
Pc Portable Gamer ASUS V16 V3607VU ,[V3607VU-RP196W],Intel Core 5,RTX 4050,16 Go,512 Go,144 Hz,Noir,"2 869,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13U ,[B13UCX-2606XFR-32-SS],Intel Core i7-13620H,RTX 2050,32 Go,512 Go,144 Hz,Gris Cosmos,"2 869,000 DT",1,En stock
Pc Portable Dell Gaming G15 5535 ,[G15-5535-R51TSSD-3Y-24],AMD Ryzen 5,RTX 3050,24 Go,1 To,N/A,Noir,"2 879,000 DT",3,En stock
Pc Portable Gamer ASUS V16 V3607VJ ,[V3607VJ-RP086-24-W11P],Intel Core 5,RTX 3050,24 Go,512 Go,144 Hz,Noir,"2 879,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13UDX ,[B13UDX-3258XFR-32],Intel Core i5-13420H,RTX 3050,32 Go,512 Go,144 Hz,Gris Cosmos,"2 899,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13U ,[B13UCX-2606XFR-32],Intel Core i7-13620H,RTX 2050,32 Go,512 Go,144 Hz,Gris Cosmos,"2 919,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13UDX ,[B13UDX-3257XFR-16-W11P],Intel Core i7-13620H,RTX 3050,16 Go,512 Go,144 Hz,Gris Cosmos,"2 919,000 DT",1,En stock
Pc Portable Gamer HP Victus Gaming 15-Fb3008nk ,[C65BFEA-24],AMD Ryzen 5,RTX 2050,24 Go,512 Go,IPS,Noir,"2 919,000 DT",1,En stock
Pc Portable Gamer HP Victus Gaming 16-R1004nk ,[AG2M2EA-24],Intel Core i5-14450HX,RTX 3050,24 Go,512 Go,IPS,Noir,"2 939,000 DT",1,En stock
Pc Portable Gamer HP Victus Gaming 16-R1004nk ,[BU-AG2M2EA-24],Intel Core i5-14450HX,RTX 3050,24 Go,512 Go,IPS,Noir,"2 939,000 DT",1,En stock
Pc Portable Gamer Lenovo LOQ 15IAX9 ,[83GS00SKFG-2Y-32],Intel Core i5-12450HX,RTX 2050,32 Go,512 Go,antireflet,Gris Luna,"2 949,000 DT",2,En stock
Pc Portable Gamer MSI Cyborg 15 A13V ,[A13VE-1494XFR],Intel Core i5-13420H,RTX 4050,8 Go,512 Go,144 Hz,Noir translucide,"2 959,000 DT",1,En stock
Pc Portable Gamer MSI Thin 15 B13U ,[B13UCX-2606XFR-32W11P],Intel Core i7-13620H,RTX 2050,32 Go,512 Go,144 Hz,Gris Cosmos,"2 969,000 DT",1,En stock
